id,nome,contrib_open_source,programa_hobby,salario,sistema_operacional_id,pais_id,empresa_id
15354,respondent_15354,Yes,Yes,0.0,2,99,8
63159,respondent_63159,Yes,Yes,38458.14,4,55,5
41271,respondent_41271,Yes,Yes,3628.39,1,50,4
6075,respondent_6075,No,No,5391.15,4,100,1
52904,respondent_52904,Yes,Yes,0.0,3,55,0
46195,respondent_46195,No,No,13445.49,4,94,3
47569,respondent_47569,No,Yes,15875.0,4,130,3
87730,respondent_87730,Yes,Yes,0.0,3,50,4
31220,respondent_31220,No,No,21654.77,2,82,4
59396,respondent_59396,Yes,Yes,5368.29,4,50,4
37025,respondent_37025,No,Yes,21272.5,4,130,2
91958,respondent_91958,No,Yes,317500.0,2,40,6
427,respondent_427,Yes,Yes,17486.31,2,95,4
66340,respondent_66340,No,Yes,14792.96,4,130,3
92326,respondent_92326,Yes,Yes,42862.5,2,130,6
35934,respondent_35934,Yes,Yes,2731.77,4,17,1
23119,respondent_23119,No,No,30430.47,4,128,2
83305,respondent_83305,No,No,0.0,4,107,7
80184,respondent_80184,No,No,317500.0,4,21,4
14349,respondent_14349,No,No,2331.72,4,18,4
76808,respondent_76808,No,Yes,0.0,4,130,8
55108,respondent_55108,No,Yes,0.0,4,115,8
39681,respondent_39681,No,No,42862.5,1,130,2
94622,respondent_94622,Yes,Yes,0.0,3,82,8
32415,respondent_32415,No,Yes,12463.14,4,21,4
93833,respondent_93833,Yes,Yes,0.0,3,50,4
66800,respondent_66800,Yes,Yes,47625.0,4,130,2
77993,respondent_77993,No,Yes,27940.0,4,130,5
20424,respondent_20424,No,Yes,0.0,4,100,3
23469,respondent_23469,No,Yes,19845.97,4,128,6
79582,respondent_79582,No,No,36512.5,4,130,0
32735,respondent_32735,Yes,Yes,17462.5,4,130,6
26417,respondent_26417,Yes,Yes,48572.74,4,42,4
81901,respondent_81901,Yes,Yes,4648.2,1,89,4
85570,respondent_85570,No,Yes,0.0,3,50,5
5494,respondent_5494,Yes,Yes,0.0,2,7,8
54819,respondent_54819,Yes,Yes,7048.5,2,51,1
42749,respondent_42749,No,Yes,20637.5,4,130,0
14786,respondent_14786,No,Yes,4872.99,1,50,4
99442,respondent_99442,No,No,12434.57,1,40,4
15976,respondent_15976,No,Yes,10398.44,4,17,2
94454,respondent_94454,Yes,Yes,8946.52,1,50,2
70216,respondent_70216,Yes,Yes,47625.0,2,130,0
24445,respondent_24445,No,No,0.0,1,64,3
42276,respondent_42276,No,Yes,3810.0,4,12,7
46823,respondent_46823,No,Yes,0.0,3,50,8
79993,respondent_79993,Yes,Yes,0.0,4,56,4
6956,respondent_6956,Yes,Yes,0.0,4,100,8
88372,respondent_88372,No,No,240.03,4,50,8
2747,respondent_2747,Yes,Yes,5962.65,4,50,8
97994,respondent_97994,No,Yes,0.0,3,115,7
12927,respondent_12927,No,Yes,21473.16,4,50,8
91581,respondent_91581,No,Yes,26279.48,1,115,5
