respondent_id,language_worked_with_id,momento
55950,38,9-11 years
55950,34,9-11 years
55950,17,9-11 years
24428,10,21-23 years
24428,0,21-23 years
24428,12,21-23 years
24428,38,21-23 years
24428,5,21-23 years
24428,30,21-23 years
24428,18,21-23 years
24428,4,21-23 years
7019,24,
39520,37,9-11 years
39520,15,9-11 years
39520,38,9-11 years
39520,5,9-11 years
39520,34,9-11 years
39520,22,9-11 years
39520,19,9-11 years
31967,37,9-11 years
31967,15,9-11 years
31967,10,9-11 years
31967,0,9-11 years
31967,27,9-11 years
31967,20,9-11 years
31967,38,9-11 years
31967,5,9-11 years
31967,16,9-11 years
31967,28,9-11 years
31967,34,9-11 years
31967,26,9-11 years
31967,22,9-11 years
31967,19,9-11 years
31967,4,9-11 years
29686,5,6-8 years
29686,34,6-8 years
29686,23,6-8 years
29686,30,6-8 years
29686,2,6-8 years
29686,22,6-8 years
29686,19,6-8 years
29686,4,6-8 years
91303,12,6-8 years
91303,38,6-8 years
91303,5,6-8 years
91303,28,6-8 years
91303,22,6-8 years
91303,19,6-8 years
42487,31,18-20 years
42487,5,18-20 years
42487,28,18-20 years
42487,34,18-20 years
42487,33,18-20 years
42487,30,18-20 years
42487,22,18-20 years
42487,4,18-20 years
17395,5,3-5 years
17395,28,3-5 years
17395,30,3-5 years
17395,22,3-5 years
17395,19,3-5 years
17395,4,3-5 years
9963,5,3-5 years
9963,28,3-5 years
9963,22,3-5 years
9963,19,3-5 years
36257,15,3-5 years
36257,34,3-5 years
36257,22,3-5 years
36257,19,3-5 years
48741,37,18-20 years
48741,38,18-20 years
48741,5,18-20 years
48741,7,18-20 years
48741,28,18-20 years
48741,30,18-20 years
48741,18,18-20 years
48741,22,18-20 years
48741,19,18-20 years
48741,4,18-20 years
99887,5,18-20 years
99887,34,18-20 years
99887,30,18-20 years
99887,22,18-20 years
99887,19,18-20 years
99887,4,18-20 years
35153,15,0-2 years
35153,10,0-2 years
35153,34,0-2 years
35153,30,0-2 years
35153,22,0-2 years
39108,12,15-17 years
39108,38,15-17 years
39108,5,15-17 years
39108,34,15-17 years
39108,30,15-17 years
39108,4,15-17 years
81249,5,12-14 years
81249,28,12-14 years
81249,22,12-14 years
81249,19,12-14 years
30648,24,6-8 years
71422,15,3-5 years
71422,10,3-5 years
71422,0,3-5 years
71422,5,3-5 years
71422,28,3-5 years
71422,34,3-5 years
71422,22,3-5 years
71422,19,3-5 years
11209,15,12-14 years
11209,12,12-14 years
11209,38,12-14 years
11209,5,12-14 years
11209,32,12-14 years
11209,28,12-14 years
11209,33,12-14 years
11209,30,12-14 years
11209,35,12-14 years
11209,22,12-14 years
11209,19,12-14 years
96022,36,12-14 years
96022,5,12-14 years
96022,34,12-14 years
96022,33,12-14 years
96022,30,12-14 years
96022,22,12-14 years
96022,19,12-14 years
16756,15,6-8 years
16756,10,6-8 years
16756,38,6-8 years
16756,5,6-8 years
16756,28,6-8 years
16756,34,6-8 years
16756,22,6-8 years
16756,19,6-8 years
72470,15,9-11 years
72470,0,9-11 years
72470,5,9-11 years
72470,28,9-11 years
72470,2,9-11 years
72470,35,9-11 years
72470,21,9-11 years
72470,22,9-11 years
72470,19,9-11 years
72470,4,9-11 years
17384,37,30 or more years
17384,15,30 or more years
17384,10,30 or more years
17384,0,30 or more years
17384,31,30 or more years
17384,12,30 or more years
17384,38,30 or more years
17384,5,30 or more years
17384,9,30 or more years
17384,16,30 or more years
17384,7,30 or more years
17384,28,30 or more years
17384,34,30 or more years
17384,3,30 or more years
17384,30,30 or more years
17384,18,30 or more years
17384,2,30 or more years
17384,35,30 or more years
17384,21,30 or more years
17384,22,30 or more years
17384,19,30 or more years
17384,4,30 or more years
35355,5,3-5 years
35355,28,3-5 years
35355,30,3-5 years
35355,18,3-5 years
35355,22,3-5 years
35355,19,3-5 years
29982,5,9-11 years
29982,18,9-11 years
29982,22,9-11 years
29982,19,9-11 years
29982,4,9-11 years
31712,5,0-2 years
31712,28,0-2 years
31712,30,0-2 years
31712,22,0-2 years
31712,19,0-2 years
44291,0,15-17 years
44291,5,15-17 years
44291,34,15-17 years
44291,30,15-17 years
44291,35,15-17 years
44291,22,15-17 years
44291,19,15-17 years
17182,0,3-5 years
17182,38,3-5 years
17182,34,3-5 years
75962,5,6-8 years
75962,16,6-8 years
75962,33,6-8 years
75962,17,6-8 years
75962,29,6-8 years
75962,22,6-8 years
75962,19,6-8 years
75962,4,6-8 years
16634,15,12-14 years
16634,4,12-14 years
18218,38,3-5 years
80548,12,6-8 years
80548,38,6-8 years
80548,5,6-8 years
80548,30,6-8 years
80548,4,6-8 years
8952,5,3-5 years
8952,28,3-5 years
8952,30,3-5 years
8952,22,3-5 years
8952,19,3-5 years
39228,36,12-14 years
39228,5,12-14 years
39228,34,12-14 years
39228,18,12-14 years
39228,22,12-14 years
39228,19,12-14 years
39228,4,12-14 years
66044,15,18-20 years
66044,10,18-20 years
66044,0,18-20 years
66044,11,18-20 years
66044,5,18-20 years
66044,30,18-20 years
66044,18,18-20 years
66044,35,18-20 years
66044,22,18-20 years
66044,19,18-20 years
82516,10,30 or more years
82516,0,30 or more years
82516,16,30 or more years
82516,34,30 or more years
82516,22,30 or more years
82516,19,30 or more years
13139,24,0-2 years
59567,10,9-11 years
59567,0,9-11 years
59567,30,9-11 years
59567,18,9-11 years
59567,22,9-11 years
59567,19,9-11 years
4117,38,24-26 years
4117,5,24-26 years
4117,22,24-26 years
4117,19,24-26 years
62257,10,0-2 years
62257,0,0-2 years
62257,38,0-2 years
84061,37,12-14 years
84061,15,12-14 years
84061,10,12-14 years
84061,0,12-14 years
84061,38,12-14 years
84061,9,12-14 years
84061,28,12-14 years
84061,34,12-14 years
84061,23,12-14 years
84061,30,12-14 years
84061,35,12-14 years
84061,21,12-14 years
84061,22,12-14 years
84061,19,12-14 years
84061,4,12-14 years
34435,8,12-14 years
34435,31,12-14 years
34435,5,12-14 years
34435,32,12-14 years
34435,34,12-14 years
34435,22,12-14 years
34435,19,12-14 years
34435,4,12-14 years
73177,12,30 or more years
73177,38,30 or more years
73177,5,30 or more years
73177,7,30 or more years
73177,28,30 or more years
73177,30,30 or more years
73177,22,30 or more years
73177,19,30 or more years
73177,4,30 or more years
11891,0,9-11 years
11891,31,9-11 years
11891,5,9-11 years
11891,34,9-11 years
11891,30,9-11 years
11891,18,9-11 years
11891,22,9-11 years
11891,19,9-11 years
90336,24,9-11 years
62081,0,9-11 years
62081,5,9-11 years
62081,30,9-11 years
62081,22,9-11 years
62081,19,9-11 years
53130,5,3-5 years
53130,22,3-5 years
53130,19,3-5 years
55087,15,6-8 years
55087,10,6-8 years
55087,0,6-8 years
55087,38,6-8 years
55087,5,6-8 years
55087,28,6-8 years
55087,33,6-8 years
55087,22,6-8 years
55087,19,6-8 years
11216,0,12-14 years
11216,38,12-14 years
11216,5,12-14 years
11216,30,12-14 years
11216,21,12-14 years
11216,29,12-14 years
11216,22,12-14 years
11216,19,12-14 years
100627,5,0-2 years
100627,7,0-2 years
100627,28,0-2 years
100627,34,0-2 years
100627,30,0-2 years
100627,22,0-2 years
100627,19,0-2 years
64586,37,18-20 years
64586,15,18-20 years
64586,10,18-20 years
64586,0,18-20 years
64586,38,18-20 years
64586,5,18-20 years
64586,9,18-20 years
64586,28,18-20 years
64586,30,18-20 years
64586,4,18-20 years
81632,10,0-2 years
81632,0,0-2 years
81632,38,0-2 years
81632,35,0-2 years
81632,22,0-2 years
27577,15,3-5 years
27577,0,3-5 years
27577,38,3-5 years
27577,5,3-5 years
27577,32,3-5 years
27577,35,3-5 years
27577,22,3-5 years
27577,19,3-5 years
52767,24,
97631,15,15-17 years
97631,5,15-17 years
97631,34,15-17 years
97631,22,15-17 years
97631,19,15-17 years
97631,4,15-17 years
56105,37,6-8 years
56105,15,6-8 years
56105,10,6-8 years
56105,0,6-8 years
56105,5,6-8 years
56105,30,6-8 years
56105,18,6-8 years
56105,22,6-8 years
56105,19,6-8 years
12111,10,12-14 years
12111,0,12-14 years
12111,34,12-14 years
12111,30,12-14 years
96852,5,0-2 years
96852,28,0-2 years
96852,22,0-2 years
96852,19,0-2 years
60652,0,0-2 years
60652,5,0-2 years
60652,28,0-2 years
60652,30,0-2 years
60652,22,0-2 years
60652,19,0-2 years
18504,24,3-5 years
66342,38,21-23 years
66342,5,21-23 years
66342,34,21-23 years
66342,30,21-23 years
66342,22,21-23 years
66342,19,21-23 years
70355,10,6-8 years
70355,31,6-8 years
70355,12,6-8 years
70355,38,6-8 years
70355,30,6-8 years
70355,29,6-8 years
70355,22,6-8 years
70355,4,6-8 years
34905,10,6-8 years
34905,27,6-8 years
34905,31,6-8 years
34905,12,6-8 years
34905,38,6-8 years
34905,5,6-8 years
34905,34,6-8 years
34905,30,6-8 years
34905,22,6-8 years
34905,19,6-8 years
34905,4,6-8 years
41656,0,6-8 years
41656,5,6-8 years
41656,30,6-8 years
41656,19,6-8 years
33860,5,9-11 years
33860,34,9-11 years
33860,30,9-11 years
33860,4,9-11 years
42143,5,9-11 years
42143,22,9-11 years
42143,19,9-11 years
42143,4,9-11 years
41635,15,0-2 years
41635,10,0-2 years
41635,28,0-2 years
41635,22,0-2 years
41635,19,0-2 years
16050,0,3-5 years
5935,38,21-23 years
5935,5,21-23 years
5935,28,21-23 years
5935,34,21-23 years
5935,30,21-23 years
5935,35,21-23 years
5935,22,21-23 years
5935,19,21-23 years
5935,4,21-23 years
50912,0,3-5 years
50912,5,3-5 years
50912,30,3-5 years
50912,35,3-5 years
50912,22,3-5 years
50912,19,3-5 years
36830,37,6-8 years
36830,34,6-8 years
68804,15,30 or more years
68804,10,30 or more years
68804,0,30 or more years
68804,38,30 or more years
68804,5,30 or more years
68804,9,30 or more years
68804,28,30 or more years
68804,22,30 or more years
68804,19,30 or more years
68804,4,30 or more years
41811,34,6-8 years
41811,26,6-8 years
41811,30,6-8 years
41811,4,6-8 years
75198,0,21-23 years
75198,5,21-23 years
75198,30,21-23 years
75198,22,21-23 years
75198,19,21-23 years
36480,10,0-2 years
36480,38,0-2 years
36480,9,0-2 years
36480,34,0-2 years
36480,30,0-2 years
36480,4,0-2 years
56222,15,3-5 years
56222,10,3-5 years
56222,0,3-5 years
56222,38,3-5 years
56222,5,3-5 years
56222,22,3-5 years
56222,19,3-5 years
81935,38,6-8 years
81935,29,6-8 years
67454,0,15-17 years
36818,38,3-5 years
36818,5,3-5 years
36818,30,3-5 years
36818,22,3-5 years
36818,19,3-5 years
95036,24,3-5 years
61617,24,
13306,16,0-2 years
38769,5,9-11 years
38769,33,9-11 years
38769,18,9-11 years
38769,22,9-11 years
38769,19,9-11 years
2290,0,6-8 years
2290,38,6-8 years
2290,5,6-8 years
2290,34,6-8 years
2290,18,6-8 years
2290,22,6-8 years
2290,19,6-8 years
29470,15,0-2 years
29470,10,0-2 years
29470,0,0-2 years
29470,5,0-2 years
29470,30,0-2 years
29470,18,0-2 years
29470,22,0-2 years
29470,19,0-2 years
60589,5,6-8 years
60589,34,6-8 years
60589,3,6-8 years
60589,22,6-8 years
60589,19,6-8 years
60589,4,6-8 years
21175,38,3-5 years
21175,34,3-5 years
86532,38,3-5 years
86532,34,3-5 years
86532,30,3-5 years
86532,22,3-5 years
86532,19,3-5 years
86532,4,3-5 years
40145,15,3-5 years
40145,10,3-5 years
40145,0,3-5 years
40145,38,3-5 years
40145,5,3-5 years
40145,30,3-5 years
40145,29,3-5 years
40145,22,3-5 years
40145,19,3-5 years
40145,4,3-5 years
78548,24,
8970,15,3-5 years
8970,10,3-5 years
8970,5,3-5 years
8970,9,3-5 years
8970,34,3-5 years
8970,22,3-5 years
8970,19,3-5 years
8970,4,3-5 years
34198,5,0-2 years
34198,33,0-2 years
34198,17,0-2 years
34198,22,0-2 years
34198,19,0-2 years
17673,0,3-5 years
17673,38,3-5 years
17673,5,3-5 years
17673,9,3-5 years
17673,33,3-5 years
17673,30,3-5 years
17673,22,3-5 years
17673,19,3-5 years
42833,34,30 or more years
42833,30,30 or more years
2744,10,6-8 years
2744,38,6-8 years
2744,5,6-8 years
2744,7,6-8 years
2744,33,6-8 years
2744,22,6-8 years
2744,19,6-8 years
89646,24,
51434,15,30 or more years
51434,10,30 or more years
51434,0,30 or more years
51434,12,30 or more years
51434,38,30 or more years
51434,5,30 or more years
51434,7,30 or more years
51434,34,30 or more years
51434,30,30 or more years
51434,2,30 or more years
51434,35,30 or more years
51434,21,30 or more years
51434,22,30 or more years
51434,19,30 or more years
51434,4,30 or more years
44015,38,9-11 years
44015,5,9-11 years
44015,28,9-11 years
44015,30,9-11 years
44015,18,9-11 years
44015,22,9-11 years
44015,19,9-11 years
12532,0,15-17 years
12532,5,15-17 years
12532,28,15-17 years
12532,33,15-17 years
12532,30,15-17 years
12532,2,15-17 years
12532,22,15-17 years
12532,19,15-17 years
23230,37,15-17 years
23230,15,15-17 years
23230,38,15-17 years
23230,5,15-17 years
23230,28,15-17 years
23230,30,15-17 years
23230,6,15-17 years
23230,22,15-17 years
23230,19,15-17 years
23230,4,15-17 years
34657,5,3-5 years
20710,24,12-14 years
37645,10,6-8 years
37645,38,6-8 years
37645,5,6-8 years
18684,5,3-5 years
18684,18,3-5 years
18684,22,3-5 years
18684,19,3-5 years
775,5,21-23 years
775,18,21-23 years
775,22,21-23 years
775,19,21-23 years
11637,5,9-11 years
11637,34,9-11 years
11637,30,9-11 years
11637,18,9-11 years
11637,22,9-11 years
11637,19,9-11 years
11637,4,9-11 years
88246,10,6-8 years
88246,31,6-8 years
88246,5,6-8 years
88246,34,6-8 years
88246,3,6-8 years
88246,4,6-8 years
76762,5,3-5 years
76762,28,3-5 years
76762,30,3-5 years
76762,22,3-5 years
76762,19,3-5 years
76762,4,3-5 years
60903,38,21-23 years
60903,5,21-23 years
27574,0,9-11 years
27574,5,9-11 years
27574,33,9-11 years
27574,30,9-11 years
27574,22,9-11 years
27574,19,9-11 years
87060,31,9-11 years
87060,38,9-11 years
87060,5,9-11 years
87060,22,9-11 years
87060,19,9-11 years
87060,4,9-11 years
78510,24,0-2 years
60398,30,6-8 years
60398,35,6-8 years
60398,21,6-8 years
66503,0,9-11 years
66503,8,9-11 years
66503,38,9-11 years
66503,5,9-11 years
66503,16,9-11 years
66503,28,9-11 years
66503,34,9-11 years
66503,30,9-11 years
66503,17,9-11 years
66503,18,9-11 years
66503,22,9-11 years
66503,19,9-11 years
44913,0,9-11 years
44913,11,9-11 years
44913,5,9-11 years
44913,28,9-11 years
44913,30,9-11 years
44913,22,9-11 years
44913,19,9-11 years
97004,12,12-14 years
97004,38,12-14 years
97004,5,12-14 years
97004,33,12-14 years
97004,19,12-14 years
97004,4,12-14 years
62546,37,6-8 years
62546,15,6-8 years
62546,10,6-8 years
62546,0,6-8 years
62546,31,6-8 years
62546,38,6-8 years
62546,5,6-8 years
62546,28,6-8 years
62546,34,6-8 years
62546,23,6-8 years
62546,30,6-8 years
62546,18,6-8 years
62546,22,6-8 years
62546,19,6-8 years
13843,9,12-14 years
13843,2,12-14 years
13843,35,12-14 years
13843,21,12-14 years
13843,4,12-14 years
54659,38,6-8 years
54659,5,6-8 years
54659,34,6-8 years
54659,30,6-8 years
54659,22,6-8 years
54659,19,6-8 years
94135,0,18-20 years
94135,28,18-20 years
94135,33,18-20 years
94135,30,18-20 years
94135,22,18-20 years
94135,19,18-20 years
94135,4,18-20 years
58170,38,6-8 years
58170,5,6-8 years
58170,30,6-8 years
58170,18,6-8 years
58170,22,6-8 years
58170,19,6-8 years
58170,4,6-8 years
92905,37,3-5 years
92905,10,3-5 years
92905,0,3-5 years
92905,38,3-5 years
92905,5,3-5 years
92905,16,3-5 years
92905,34,3-5 years
92905,33,3-5 years
92905,30,3-5 years
92905,17,3-5 years
92905,22,3-5 years
92905,19,3-5 years
55727,24,3-5 years
14869,37,30 or more years
14869,10,30 or more years
14869,0,30 or more years
14869,5,30 or more years
14869,28,30 or more years
14869,34,30 or more years
14869,30,30 or more years
14869,22,30 or more years
14869,19,30 or more years
38552,28,21-23 years
38552,6,21-23 years
38552,22,21-23 years
38552,19,21-23 years
80231,24,6-8 years
94778,0,15-17 years
94778,38,15-17 years
94778,34,15-17 years
94778,30,15-17 years
53701,37,9-11 years
53701,15,9-11 years
53701,10,9-11 years
53701,20,9-11 years
53701,5,9-11 years
53701,13,9-11 years
53701,34,9-11 years
53701,22,9-11 years
53701,19,9-11 years
53701,4,9-11 years
91260,12,6-8 years
91260,38,6-8 years
91260,30,6-8 years
91260,4,6-8 years
49889,38,6-8 years
49889,34,6-8 years
49889,30,6-8 years
40882,10,9-11 years
40882,31,9-11 years
40882,12,9-11 years
40882,38,9-11 years
40882,5,9-11 years
40882,28,9-11 years
40882,30,9-11 years
40882,22,9-11 years
40882,19,9-11 years
40882,4,9-11 years
877,24,3-5 years
62732,5,3-5 years
62732,28,3-5 years
62732,30,3-5 years
62732,35,3-5 years
62732,22,3-5 years
62732,19,3-5 years
62732,4,3-5 years
65108,15,9-11 years
65108,0,9-11 years
65108,22,9-11 years
88568,5,3-5 years
88568,16,3-5 years
88568,34,3-5 years
88568,33,3-5 years
88568,17,3-5 years
88568,22,3-5 years
88568,19,3-5 years
88568,4,3-5 years
36216,16,12-14 years
36216,17,12-14 years
71008,10,3-5 years
71008,38,3-5 years
71008,5,3-5 years
71008,34,3-5 years
71008,22,3-5 years
71008,19,3-5 years
71008,4,3-5 years
3039,15,12-14 years
3039,10,12-14 years
3039,36,12-14 years
3039,20,12-14 years
3039,5,12-14 years
3039,28,12-14 years
3039,34,12-14 years
3039,26,12-14 years
3039,30,12-14 years
3039,18,12-14 years
3039,22,12-14 years
3039,19,12-14 years
3039,4,12-14 years
90211,0,12-14 years
90211,5,12-14 years
90211,22,12-14 years
3292,24,
40655,30,9-11 years
30338,5,3-5 years
30338,22,3-5 years
30338,19,3-5 years
58074,15,6-8 years
58074,10,6-8 years
58074,38,6-8 years
58074,9,6-8 years
85538,37,0-2 years
85538,0,0-2 years
85538,22,0-2 years
85538,4,0-2 years
77806,24,9-11 years
39588,31,18-20 years
39588,38,18-20 years
39588,34,18-20 years
39588,30,18-20 years
39588,4,18-20 years
86161,0,18-20 years
86161,5,18-20 years
86161,34,18-20 years
86161,18,18-20 years
9912,0,0-2 years
9912,22,0-2 years
9912,19,0-2 years
7698,10,3-5 years
7698,5,3-5 years
7698,7,3-5 years
7698,28,3-5 years
7698,34,3-5 years
7698,30,3-5 years
7698,22,3-5 years
7698,19,3-5 years
14780,0,12-14 years
14780,5,12-14 years
14780,30,12-14 years
14780,35,12-14 years
14780,22,12-14 years
14780,19,12-14 years
33937,0,6-8 years
33937,5,6-8 years
33937,30,6-8 years
33937,22,6-8 years
33937,19,6-8 years
64082,15,6-8 years
64082,0,6-8 years
64082,31,6-8 years
64082,5,6-8 years
64082,28,6-8 years
64082,30,6-8 years
64082,22,6-8 years
64082,19,6-8 years
64082,4,6-8 years
84334,15,27-29 years
84334,5,27-29 years
84334,16,27-29 years
84334,7,27-29 years
84334,22,27-29 years
84334,19,27-29 years
84334,4,27-29 years
21821,10,12-14 years
21821,38,12-14 years
21821,5,12-14 years
21821,34,12-14 years
21821,4,12-14 years
441,10,0-2 years
441,0,0-2 years
441,11,0-2 years
441,31,0-2 years
441,5,0-2 years
441,34,0-2 years
441,33,0-2 years
441,3,0-2 years
441,22,0-2 years
441,19,0-2 years
21594,38,12-14 years
21594,5,12-14 years
21594,30,12-14 years
21594,22,12-14 years
21594,19,12-14 years
20984,24,3-5 years
33298,0,18-20 years
37103,15,3-5 years
37103,10,3-5 years
37103,0,3-5 years
37103,20,3-5 years
37103,38,3-5 years
37103,5,3-5 years
37103,30,3-5 years
37103,35,3-5 years
37103,22,3-5 years
37103,19,3-5 years
10019,0,12-14 years
10019,5,12-14 years
10019,30,12-14 years
10019,18,12-14 years
10019,22,12-14 years
10019,19,12-14 years
31098,24,0-2 years
71654,24,6-8 years
21524,5,3-5 years
21524,34,3-5 years
21524,22,3-5 years
21524,19,3-5 years
10077,0,3-5 years
10077,5,3-5 years
10077,9,3-5 years
10077,34,3-5 years
10077,2,3-5 years
55592,15,30 or more years
55592,38,30 or more years
55592,5,30 or more years
55592,16,30 or more years
55592,17,30 or more years
55592,4,30 or more years
100657,36,12-14 years
100657,38,12-14 years
100657,5,12-14 years
100657,34,12-14 years
100657,33,12-14 years
100657,18,12-14 years
100657,22,12-14 years
100657,19,12-14 years
100657,4,12-14 years
85023,0,12-14 years
46211,0,18-20 years
46211,38,18-20 years
46211,5,18-20 years
46211,28,18-20 years
46211,34,18-20 years
46211,30,18-20 years
46211,17,18-20 years
46211,22,18-20 years
46211,4,18-20 years
54744,0,9-11 years
54744,5,9-11 years
54744,28,9-11 years
54744,30,9-11 years
54744,22,9-11 years
54744,19,9-11 years
54744,4,9-11 years
36304,10,21-23 years
36304,38,21-23 years
36304,9,21-23 years
36304,34,21-23 years
36304,23,21-23 years
50903,0,12-14 years
50903,38,12-14 years
50903,5,12-14 years
50903,28,12-14 years
50903,34,12-14 years
50903,30,12-14 years
50903,22,12-14 years
50903,19,12-14 years
50903,4,12-14 years
1859,5,18-20 years
1859,28,18-20 years
1859,30,18-20 years
1859,22,18-20 years
1859,19,18-20 years
1859,4,18-20 years
30920,38,0-2 years
30920,5,0-2 years
30920,34,0-2 years
30920,26,0-2 years
30920,30,0-2 years
30920,29,0-2 years
30920,22,0-2 years
30920,19,0-2 years
6212,0,27-29 years
