respondent_id,language_worked_with_id,momento
6212,31,27-29 years
6212,38,27-29 years
6212,5,27-29 years
6212,33,27-29 years
6212,30,27-29 years
6212,22,27-29 years
6212,19,27-29 years
6212,4,27-29 years
100912,0,9-11 years
100912,5,9-11 years
100912,30,9-11 years
100912,18,9-11 years
100912,22,9-11 years
100912,19,9-11 years
3185,5,9-11 years
15149,5,12-14 years
15149,22,12-14 years
15149,19,12-14 years
82239,37,30 or more years
82239,5,30 or more years
82239,28,30 or more years
82239,6,30 or more years
82239,22,30 or more years
82239,19,30 or more years
82239,4,30 or more years
37566,0,6-8 years
37566,5,6-8 years
37566,30,6-8 years
37566,22,6-8 years
37566,19,6-8 years
9454,15,6-8 years
9454,10,6-8 years
9454,0,6-8 years
9454,11,6-8 years
37708,15,3-5 years
37708,10,3-5 years
37708,0,3-5 years
37708,38,3-5 years
37708,5,3-5 years
37708,9,3-5 years
37708,28,3-5 years
37708,30,3-5 years
37708,18,3-5 years
37708,22,3-5 years
37708,19,3-5 years
7174,10,9-11 years
7174,0,9-11 years
7174,30,9-11 years
7174,22,9-11 years
7174,4,9-11 years
8935,24,24-26 years
957,34,6-8 years
957,23,6-8 years
8587,15,18-20 years
8587,38,18-20 years
8587,34,18-20 years
11856,10,0-2 years
78828,38,18-20 years
78828,5,18-20 years
78828,30,18-20 years
78828,35,18-20 years
78828,21,18-20 years
78828,22,18-20 years
78828,19,18-20 years
78828,4,18-20 years
90675,36,3-5 years
90675,5,3-5 years
90675,9,3-5 years
90675,34,3-5 years
90675,33,3-5 years
90675,22,3-5 years
90675,19,3-5 years
90675,4,3-5 years
61347,5,6-8 years
61347,34,6-8 years
61347,3,6-8 years
61347,22,6-8 years
61347,19,6-8 years
61347,4,6-8 years
21304,5,3-5 years
21304,18,3-5 years
21304,22,3-5 years
21304,19,3-5 years
21251,15,18-20 years
21251,10,18-20 years
21251,34,18-20 years
5524,38,6-8 years
5524,5,6-8 years
5524,22,6-8 years
5524,19,6-8 years
66903,24,9-11 years
66481,24,3-5 years
75770,24,21-23 years
90605,24,12-14 years
85291,37,3-5 years
85291,15,3-5 years
85291,10,3-5 years
85291,38,3-5 years
85291,30,3-5 years
85291,22,3-5 years
85291,19,3-5 years
62026,15,30 or more years
62026,32,30 or more years
99562,24,9-11 years
20532,0,12-14 years
20532,5,12-14 years
20532,30,12-14 years
20532,18,12-14 years
