id,nome
0,C#
1,Hack
2,VBA
3,Rust
4,Bash/Shell
5,JavaScript
6,Delphi/Object Pascal
7,Perl
8,Erlang
9,Matlab
10,C++
11,F#
12,Groovy
13,Julia
14,Cobol
15,C
16,Objective-C
17,Swift
18,TypeScript
19,CSS
20,Haskell
21,Visual Basic 6
22,HTML
23,R
24,Others
25,Ocaml
26,Scala
27,Clojure
28,PHP
29,Kotlin
30,SQL
31,Go
32,Lua
33,Ruby
34,Python
35,VB.NET
36,CoffeeScript
37,Assembly
38,Java
