id,nome
0,Slack
1,Google Hangouts/Chat
2,"Office / productivity suite (Microsoft Office, Google Suite, etc.)"
3,Trello
4,Stack Overflow Enterprise
5,Others
6,Jira
7,"Other chat system (IRC, proprietary software, etc.)"
8,HipChat
9,"Other wiki tool (Github, Google Sites, proprietary software, etc.)"
10,Confluence
11,Facebook
